活動,期別,開始,結束,頁面,公告日,關聯內容,官方公告,備註,攻略名稱,攻略頁面
廣寒仙宮,2026嫦娥之約,,,/任務攻略/限時活動/廣寒仙宮,2026-09-23,廣寒迷宮收集月餅；2026皎月寶箱、暗月寶箱及月晶石兌換,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17784.html),玩家確認為本期任務；公告未單列任務起訖，不沿用秘寶日期,,
任務委託爭霸賽,任務爭霸賽第35季,2026-09-24 12:00,2026-10-22 12:00,/公告存檔/17794,2026-09-24,職業公會接取任務；排名寶箱均為綁定道具,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17794.html),
中秋勇者秘寶,2026中秋勇者秘寶,2026-09-24 12:00,2026-10-08 12:00,/公告存檔/17784,2026-09-23,月光芙蕾兔兔、桃紅慕斯兔兔、白萌兔登場,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17784.html),本期秘寶期間；公告未明列嫦娥之約任務的起訖時間,同公告任務：嫦娥之約攻略,/任務攻略/限時活動/廣寒仙宮
中秋大富翁,2026中秋大富翁,2026-09-25 13:00,2026-10-08 12:00,/公告存檔/17784,2026-09-23,官網每日任務取得骰子；骰子當日用完；道具不可交易,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17784.html),公告另列倉庫可領取時間為9月24日14:00～10月8日12:00，與活動起始日不同，依活動時間欄登記
寵物技能秘寶,2026寵物技能秘寶,2026-09-10 12:00,2026-09-24 12:00,/公告存檔/17754,2026-09-10,半藏、藍天瓢蟲、斑鬣蜥蜴登場,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17754.html),此為秘寶期間，非寵物技能聖殿任務關閉時間
九月星宿祈願寶盒,九月星宿祈願寶盒,2026-09-09 12:00,2026-10-10 12:00,/公告存檔/17734,2026-09-07,星宿舞姬、骨咒術士；星痕骨片與星宿之羽兌換,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17734.html),
渡魂之鈴,2026中元節「渡魂之鈴」,2026-08-27 12:00,2026-09-10 12:00,/任務攻略/限時活動/渡魂之鈴,2026-08-26,任務起始：索奇亞沙漠夜晚出現的渡魂仙人；完成任務可解鎖御風訣,[鬼門驚變：陰陽兩界的危機 保底必得大天狗](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17694.html),搜尋別名：度魂之齡
王者道場試煉,25週年「王者道場」,2026-08-13 12:00,2026-08-27 12:00,/任務攻略/限時活動/王者道場試煉,2026-08-13,"報名點：法蘭城競技場入口（20,10）；入場費 10,000G；完成最終試煉可得魔力25週年最終獎勵寶箱",[25週年慶王者道場來襲 保底必得限定頭飾](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17644.html),
週年慶寵物島,25週年「寵物島慶典」,2026-07-30 12:00,2026-08-27 12:00,/任務攻略/限時活動/週年慶寵物島,2026-07-29,開放五座鼠島；完成島主每日任務可取得25週年紀念幣,[《魔力寶貝》25週年誕生慶典 正式開啟！](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_17584.html),
週年慶寵物島,24週年「寵物島限時開啟」,2025-07-24 12:00,2025-08-21 12:00,/任務攻略/限時活動/週年慶寵物島,2025-07-24,開放五座鼠島；完成島主每日任務可取得24週年紀念幣,[《魔力寶貝》24週年誕生慶典 正式展開！](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_15634.html),
週年慶寵物島,永恆初心三週年「寵物島之旅」,2024-05-23 12:00,2024-06-06 12:00,/任務攻略/限時活動/週年慶寵物島,2024-05-23,開放五座鼠島；完成島主每日任務可取得3週年紀念幣,[《魔力寶貝：永恆初心》三週年活動最終彈](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13104.html),
週年慶寵物島,22週年「寵物島之旅」,2023-07-27 12:00,2023-08-24 12:00,/任務攻略/限時活動/週年慶寵物島,2023-07-27,開放五座鼠島；完成島主每日任務可取得22週年紀念幣,[22週年慶第一彈](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9994.html),繕誤：公告原文將「寵物島之旅」結束年份寫成2022年8月24日；同頁紀念幣兌換期間載明至2023年8月24日，據此更正為2023年。
週年慶寵物島,21週年「寵物島之旅」,2022-07-07 12:00,2022-07-21 12:00,/任務攻略/限時活動/週年慶寵物島,2022-07-07,每日由週年慶使者前往寵物島，完成尋找寵物寶寶任務,[21週年慶第一彈](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7913.html)・[寵物島任務賽排名獎勵](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7923.html),
週年慶寵物島,20週年「寵物大狂歡」,2021-07-22 14:00,2021-08-12 12:00,/任務攻略/限時活動/週年慶寵物島,2021-07-23,開放五座鼠島；完成島主每日任務可取得20週年紀念幣,[《魔力寶貝》20週年慶典勁爆來襲！](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5293.html),
